slug,title,id,volume,closed,archived,has_context,context_len,context_updated_at,context_requires_regen,context_description,linkup_annotations,scrape_error
fed-decision-in-january,Fed decision in January?,45883,659499548.531115,True,False,False,0,,True,,0,
presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,903216,628163458.451128,True,False,False,0,,True,,0,
who-will-trump-nominate-as-fed-chair,Who will Trump nominate as Fed Chair?,35908,617333689.5269531,True,False,False,0,,True,,0,
us-strikes-iran-by,US strikes Iran by...?,114242,529033417.449223,True,False,False,0,,True,,0,
who-will-be-inaugurated-as-president,Who will be inaugurated as President? ,14023,501346552.3088502,True,False,False,0,,,,0,
us-x-iran-permanent-peace-deal-by,US x Iran permanent peace deal by...?,357807,478913402.3358511,True,False,True,881,2026-06-18T01:06:00.625Z,True,"**US and Iran reached a 14-point memorandum of understanding in mid-June 2026 to end more than 100 days of conflict, reopen the Strait of Hormuz without tolls, lift the US naval blockade, and begin a 60-day negotiation window on Iran’s nuclear program, sanctions relief, and related issues.** The MOU was virtually signed by President Trump and Iranian officials, with a formal signing ceremony planned for June 19 in Geneva. While this marks the first major diplomatic breakthrough in the 2025–2026 negotiations—mediated by Qatar, Pakistan, and others—US and Iranian interpretations diverge on implementation details such as asset releases and long-term Hormuz management. Trader sentiment reflects progress toward de-escalation but accounts for remaining uncertainty over whether the interim ceasefire evolves into a permanent, verifiable agreement within any specific timeframe.",316,
new-york-city-mayoral-election,New York City Mayoral Election,23246,429614415.023426,True,False,False,0,,,,0,
2026-nba-champion,2026 NBA Champion,27830,426890629.54353505,True,False,True,644,2026-06-14T06:31:01.525Z,True,"The New York Knicks' 4-1 series victory over the San Antonio Spurs in the 2026 NBA Finals has driven trader consensus to a 100% implied probability for the championship. New York completed a dramatic Game 5 comeback from a double-digit deficit, with Jalen Brunson delivering 45 points to secure the franchise's first title since 1973. The Spurs' 0.1% pricing reflects their eliminated status after the series conclusion. Even at these levels, official league confirmation of results or unprecedented post-series developments would be required to alter the outcome, though current standings and playoff records leave little room for such shifts.",0,
microstrategy-sell-any-bitcoin-in-2025,MicroStrategy sells any Bitcoin by ___ ?,16167,407170412.1888655,True,False,False,0,,True,,0,
fed-decision-in-december,Fed decision in December?,35090,393905949.377453,True,False,False,0,,True,,0,
romania-presidential-election,(Old) Romania Election,14228,371837992.47504497,True,False,False,0,,,,0,
us-forces-enter-iran-by,US forces enter Iran by..?,158299,367046744.5571906,True,False,True,789,2026-04-09T00:31:33.503Z,True,"US-Iran hostilities, ignited by US-Israeli airstrikes on February 28 targeting Iranian military and nuclear sites, have featured over 90 US strikes including recent hits on Kharg Island on April 7, alongside reports of special forces ground insertions for downed F-15 pilot rescues. President Trump announced a two-week ceasefire on April 8 to enable diplomacy over Strait of Hormuz access, with Iran accepting amid demands for US withdrawal from the region; however, Tehran's Supreme Leader declared the war ongoing, and Defense Secretary Hegseth affirmed sustained US military presence with readiness for retaliation. Traders weigh ceasefire compliance against escalation risks from violations, ongoing search-and-rescue, or failed talks, with no full-scale ground invasion signaled yet.",0,
democratic-nominee-2024,Democratic Nominee 2024,903215,327866173.223234,True,False,False,0,,,,0,
english-premier-league-winner,English Premier League Winner ,33507,322582116.99812704,True,False,True,773,2026-05-20T00:16:01.730Z,True,"Arsenal's dominant position in the English Premier League title market stems from their unassailable lead after securing 82 points with one fixture remaining. Manchester City's 1-1 draw at Bournemouth on May 19 eliminated any realistic chance for the defending champions to catch the Gunners, who extended their advantage following a win over Burnley. Arsenal's consistent form throughout the campaign, combined with superior points accumulation and goal difference, has translated into near-certain trader consensus on the outcome. While the title is effectively decided, late-season variables such as an unprecedented points deduction or administrative ruling could theoretically shift the final standings, though such developments remain highly improbable at this stage.",0,
next-president-of-south-korea,Next president of South Korea?,22254,290745774.792026,True,False,False,0,,,,0,
nba-eastern-conference-champion,NBA Eastern Conference Champion,13168,287395629.7692781,True,False,False,0,,,,0,
fed-decision-in-april,Fed decision in April?,75478,284224765.2922818,True,False,True,727,2026-04-29T21:16:25.796Z,True,"The Federal Open Market Committee's April 29 decision to maintain the federal funds rate target range at 3.5%-3.75%—a unanimous consensus among traders reflected in Polymarket's 100% implied probability for no change—stems from elevated inflation pressures, with March 2026 CPI rising 3.3% year-over-year amid a 10.9% energy surge driven by Middle East tensions, offsetting modest labor market softening evidenced by 4.3% unemployment and low jobless claims near 219,000. Solid economic expansion further supported holding steady, despite internal dissent including one vote for a 25 bps cut and three opposing an easing bias. Upcoming April CPI on May 12 and the next FOMC meeting could signal shifts if data deviates sharply.",15,
uefa-champions-league-winner,UEFA Champions League Winner ,33506,281018894.63416475,True,False,True,657,2026-05-30T22:00:48.378Z,True,"Paris Saint-Germain secured the 2025/26 UEFA Champions League title with a 4-3 penalty shootout victory over Arsenal following a 1-1 draw after extra time in the final at Puskás Aréna. This outcome reflects PSG's strong campaign as defending champions, including consistent progression through knockout stages and defensive resilience under pressure in the decisive match. Trader consensus has shifted fully to PSG at 100% implied probability, consistent with the confirmed result. Scenarios that could still influence resolution include any official disputes over match proceedings or administrative rulings, though none have emerged to alter the standing.",0,
us-x-iran-ceasefire-by,US x Iran ceasefire by...?,236840,280141579.07110685,True,False,True,831,2026-04-11T00:16:23.389Z,True,"A fragile two-week US-Iran ceasefire, announced by President Trump on April 7 amid escalating military tensions and a prior deadline, remains in effect as both sides prepare for high-stakes peace talks in Islamabad, Pakistan, starting this weekend. Vice President JD Vance and US envoys, including Steve Witkoff and Jared Kushner, will negotiate Iran's 10-point proposal covering nuclear constraints, sanctions relief, proxy activities in Lebanon and Yemen, and reopening the Strait of Hormuz, where traffic stays low. Recent strains include Iranian accusations of Israeli violations and Trump's renewed threats, heightening risks of breakdown despite de-escalation signals. Traders eye the talks' outcomes for potential extensions or permanent deals, with historical bilateral talks often stalling on verification and enforcement.",0,
la-liga-winner,La Liga Winner,12672,277840555.15810853,True,False,False,0,,,,0,
next-prime-minister-of-ethiopia,Next Prime Minister of Ethiopia?,411239,265279293.02883798,False,False,True,733,2026-08-03T15:31:07.711Z,False,"Abiy Ahmed's commanding position in the market stems from his Prosperity Party's decisive victory in Ethiopia's June 1, 2026 general election, securing 438 of 486 contested parliamentary seats and a supermajority that positions the party to select the next prime minister later this year. Traders reflect the established parliamentary process under which the majority leader typically assumes the role, reinforced by Abiy's incumbency since 2018 and limited effective opposition participation amid regional security constraints. Potential shifts could arise from unforeseen health developments, major political scandals, or rapid escalations in ongoing internal conflicts that erode parliamentary backing before the formal selection.",0,
fed-decision-in-march-885,Fed decision in March?,67284,260075340.35964626,True,False,True,822,2026-03-18T21:25:31.086Z,True,"Trader consensus on Polymarket overwhelmingly prices a no-change Federal Reserve decision in March at 100% implied probability, driven by resilient U.S. economic data and Chair Powell's recent testimony emphasizing a data-dependent pause after 2024's 100 basis points of cumulative cuts to the 4.25-4.50% fed funds range. Sticky core PCE inflation near 2.7%—above the 2% target—paired with robust November nonfarm payrolls adding 227,000 jobs and unemployment steady at 4.2%, reinforces the view that policy remains appropriately restrictive without urgent easing needs. This positioning could face challenges from hotter-than-expected CPI prints in January or February, or sudden labor market deterioration signaling recession risks, potentially reviving cut odds above the current negligible 0.2% combined for decreases.",0,
fed-decision-in-october,Fed decision in October?,27824,252485550.016563,True,False,False,0,,True,,0,
stanley-cup-winner,Stanley Cup Champion 2025,13241,249254121.6698593,True,False,False,0,,,,0,
democratic-vp-nominee-on-election-day,Democratic VP nominee on election day?,11968,244526069.780902,True,False,False,0,,,,0,
will-zelenskyy-wear-a-suit-before-july,Will Zelenskyy wear a suit before July?,25044,242231180.272023,True,False,False,0,,True,,0,
2025-national-heads-up-poker-championship-winner-845,2025 National Heads-Up Poker Championship Winner,35532,235976211.664435,True,False,False,0,,,,0,
romania-presidential-election-winner,Romania Presidential Election Winner,16868,234266874.453681,True,False,False,0,,True,,0,
fed-decision-in-september,Fed decision in September?,24087,220591460.745363,True,False,False,0,,True,,0,
us-x-iran-ceasefire-extended-by,US x Iran ceasefire extended by...?,357625,210137726.5107909,True,False,True,751,2026-05-01T00:31:20.065Z,True,"The US-Iran ceasefire, agreed April 8 for two weeks amid their direct conflict and mediated by Pakistan, was extended indefinitely by President Trump on April 21 pending Tehran's comprehensive peace proposal, while the US maintains a naval blockade of the Strait of Hormuz to pressure Iran on nuclear issues and shipping access. Iran submitted a new proposal on April 28, which Washington is reviewing, but fragile truce holds amid incidents like Tehran's seizure of vessels and stalled talks in Islamabad over the blockade. Traders monitor US response to the proposal, potential resumption of airstrikes, or diplomatic breakthroughs, with economic pressures from oil disruptions amplifying escalation risks before any formal extension terms solidify.",0,
2026-f1-drivers-champion,F1 Drivers' Champion,100371,200684666.7613704,False,False,True,840,2026-08-03T16:01:23.059Z,False,"Kimi Antonelli holds the top position in the 2026 F1 Drivers' Championship with a substantial points lead over the field, reflecting consistent race wins, podium finishes, and strong qualifying performances for Mercedes across the season's early and mid rounds. His Mercedes teammate George Russell and Ferrari's Lewis Hamilton occupy the next spots in the standings, supported by their respective teams' competitive pace and results in recent grands prix. The implied probabilities align closely with current championship gaps and form trends, as Antonelli's advantage has widened through reliable scoring while rivals like Max Verstappen and Lando Norris trail further back amid variable results. Late-season factors such as remaining races, potential reliability issues, or strategic developments could still influence the final outcome.",0,
eurovision-winner-2026,Eurovision Winner 2026,98369,193910212.888644,True,False,True,701,2026-05-17T03:46:01.130Z,True,"Bulgaria's commanding position in the Eurovision Winner 2026 market stems from Dara's explosive live performance of ""Bangaranga"" in the grand final, where the high-energy dance anthem secured a decisive victory with 516 points by topping both the jury and televote tallies. Strong rehearsal buzz, dynamic staging, and broad audience appeal propelled the track past pre-final frontrunners like Finland and Australia, marking Bulgaria's first win and return to the contest since 2022. Traders have priced in this outcome as near-certain given the confirmed results, though an upset could still emerge only in the event of a recount or scoring error—scenarios that remain highly improbable at this stage.",0,
pennsylvania-margin-of-victory,Pennsylvania Margin of Victory,12623,192916820.428426,True,False,False,0,,,,0,
fed-interest-rates-january-2025,Fed decision in January?,14220,190915049.199301,True,False,False,0,,,,0,
fed-interest-rates-november-2024,Fed Interest Rates: November 2024,11827,189537155.167586,True,False,False,0,,,,0,
what-price-will-bitcoin-hit-in-2025,What price will Bitcoin hit in 2025?,16096,188753254.123653,True,False,False,0,,,,0,
speaker-of-the-house-for-the-119th-congress,Who will be the Speaker of the House?,14033,188408380.572023,True,False,False,0,,,,0,
nfl-mvp-1,NFL MVP,12297,182452890.8847017,True,False,False,0,,,,0,
fed-decision-in-june-825,Fed Decision in June?,101772,164640886.54780918,True,False,True,838,2026-06-17T21:15:44.632Z,True,"The June 2026 FOMC meeting's near-certain hold at the 3.50–3.75% federal funds target range reflects persistent inflation pressures, including a recent spike tied to geopolitical tensions, alongside a still-resilient labor market that has kept the Fed from easing. Recent data releases and prior communications have reinforced trader consensus that monetary policy remains appropriately restrictive, with CME FedWatch pricing a hold above 96% and no material shift in expectations over the past week. The dot plot and updated projections will likely signal a higher median rate path for year-end, underscoring caution on cuts. While the decision itself faces minimal uncertainty, unexpected weakness in upcoming employment or inflation prints could theoretically reopen debate, though such outcomes appear remote given current conditions.",317,
f1-drivers-champion,F1 Drivers Champion,19696,159090251.150985,True,False,False,0,,True,,0,
will-there-be-another-us-government-shutdown-by-january-31,US government shutdown Saturday?,80505,157296576.448084,True,False,False,0,,True,,0,
ireland-presidential-election,Ireland Presidential Election,21315,152026239.339043,True,False,False,0,,,,0,
fed-decision-in-july-181,Fed Decision in July?,287395,143954093.78149703,True,False,True,808,2026-06-18T02:31:31.891Z,True,"Persistent inflation pressures from the May 2026 CPI report, which showed a 4.2% year-over-year rise driven by a 23.5% surge in energy costs amid Middle East tensions, have anchored trader expectations for the July 28-29 FOMC meeting. With the federal funds rate steady at 3.50%-3.75% following the June decision under new Chair Kevin Warsh, market-implied odds heavily favor no change at 79.5%, reflecting caution as June CPI data arrives July 14. Modest 19.4% pricing for a 25 basis point hike incorporates dot-plot signals that nine officials anticipate at least one increase this year, while negligible probabilities for cuts underscore limited downside risks given resilient labor markets and elevated Treasury yields. Geopolitical and data-dependent factors remain key swing elements before resolution.",439,
russia-x-ukraine-ceasefire-by-may-31-2026,"Russia x Ukraine ceasefire by May 31, 2026?",326314,141250712.68070313,True,False,True,807,2026-05-09T19:31:29.816Z,True,"President Trump's May 8 announcement of a U.S.-brokered three-day ceasefire between Russia and Ukraine, effective May 9–11 to mark Russia's Victory Day and facilitate a 2,000-prisoner swap, has driven trader consensus to 100% ""Yes,"" as both Moscow and Kyiv publicly affirmed the mutual halt in military engagement—meeting Polymarket criteria for a general pause ahead of the May 31 deadline. This rare de-escalation follows February's Geneva trilateral talks and April reports of nearing a broader deal, signaling diplomatic momentum amid stalled frontline advances. Though temporary, official commitments outweigh prior short truces like Easter's. Realistic disruptions—mutual violation claims, abrupt escalations, or resolution disputes—remain possible but deemed improbable by traders risking real money.",0,
fed-decision-in-july,Fed decision in July?,21255,136613627.403447,True,False,False,0,,True,,0,
portugal-presidential-election,Portugal Presidential Election,34587,136469386.189704,True,False,False,0,,,,0,
germany-parliamentary-election,Germany Parliamentary Election Winner,14835,134617984.549357,True,False,False,0,,,,0,
romania-bucharest-mayoral-election,Romania: Bucharest Mayoral Election,24895,134249665.397437,True,False,False,0,,,,0,
khamenei-out-as-supreme-leader-of-iran-by-february-28,Khamenei out as Supreme Leader of Iran by February 28?,162818,131114970.827221,True,False,False,0,,True,,0,
poland-presidential-election,Poland Presidential Election,14874,128972884.206035,True,False,False,0,,,,0,
democratic-vp-nominee,Democratic VP nominee?,11385,128499432.147679,True,False,False,0,,,,0,
the-masters-winner-2026,The Masters 2026: Winner ,34436,126018047.39666298,True,False,True,821,2026-04-13T02:16:27.549Z,True,"Rory McIlroy captured his second consecutive Masters title at Augusta National, finishing at 12-under par after a steady final-round 71 to edge Scottie Scheffler by one stroke, with Tyrrell Hatton, Russell Henley, and others tied for third at 10-under. As the defending champion entering with strong course history and momentum from recent PGA Tour wins, McIlroy built an early six-shot lead after 36 holes before holding off late charges, including Cameron Young's third-round tie at 11-under. Trader consensus at 100% implied probability reflects his confirmed victory on the leaderboard, sealed by a clutch par save on 18 amid firm greens and typical Sunday pressure. No realistic challenges remain post-tournament, though pre-final round volatility from weather delays and contender surges had briefly tightened odds.",0,
highest-grossing-movie-in-2025,Highest grossing movie in 2025?,16100,124618231.928837,True,False,False,0,,,,0,
popular-vote-margin-of-victory-in-presidential-election,Popular Vote Margin of Victory?,11910,124038744.446078,True,False,False,0,,,,0,
netanyahu-out-before-2027,Netanyahu out by...?,34051,123897903.09032659,False,False,True,833,2026-08-03T15:31:06.495Z,False,"The October 27, 2026, Knesset election stands as the central catalyst for trader views on Netanyahu’s tenure, with polls showing his Likud-led coalition trailing an opposition bloc that commands majority support in most surveys. Netanyahu has signaled openness to eventual succession without naming a timeline, while ongoing conflicts with Iran, Hezbollah, and Hamas continue to shape security debates and coalition cohesion. Ultra-Orthodox parties and budget negotiations have tested government stability in recent months, yet the coalition has held long enough to reach the statutory deadline. Post-election coalition talks will determine whether Netanyahu remains prime minister or yields to an alternative government, with any shift hinging on seat totals, potential kingmaker roles for smaller parties, and negotiation outcomes.",2206,
what-price-will-bitcoin-hit-in-february-2026,What price will Bitcoin hit in February?,194107,121274308.34787,True,False,False,0,,,,0,
next-prime-minster-of-canada,Next Prime Minister of Canada after the election?,16125,120985208.028161,True,False,False,0,,,,0,
tiktok-banned-in-the-us-before-may-2025,TikTok banned in the US before May 2025?,12641,119653357.735965,True,False,False,0,,True,,0,
brazil-presidential-election,Brazil Presidential Election,45915,118298107.033076,False,False,True,792,2026-08-03T16:01:22.612Z,True,"Lula's position as the incumbent president seeking re-election anchors trader consensus at 65.5 percent, reflecting his established base within the Workers' Party and ongoing policy implementation on economic and social programs. Flávio Bolsonaro leads right-leaning alternatives at 25.4 percent amid the Bolsonaro family's continued influence, though Jair Bolsonaro's court-imposed ineligibility through 2030 limits direct continuity. Lower probabilities for figures such as Renan Santos, Ronaldo Caiado, and others capture fragmented opposition support and limited national momentum this far from the October 2026 vote. Recent legislative and state-level developments have reinforced Lula's edge while highlighting coalition-building needs ahead of primaries and potential runoff scenarios.",1070,
highest-grossing-movie-in-2024,Highest grossing movie in 2024?,903378,117998294.6115327,True,False,False,0,,,,0,
next-french-presidential-election,Next French Presidential Election,79987,117061209.57302,False,False,True,853,2026-08-03T16:01:23.302Z,False,"Marine Le Pen’s July 2026 appeals court ruling, which upheld her embezzlement conviction but shortened the ineligibility period, has reshaped the 2027 race by clearing her path to run and prompting her immediate candidacy announcement. This development lifted her first-round polling to around 35 percent and positioned her as the market frontrunner, ahead of Édouard Philippe. Philippe, who launched his center-right campaign earlier, is now targeting Le Pen’s economic positions to consolidate conservative and centrist support for a potential runoff matchup that remains competitive. A fragmented opposition, including Jean-Luc Mélenchon on the left and reduced visibility for Jordan Bardella, sustains the tight contest, with outcomes hinging on turnout, alliance dynamics, and any further legal or campaign shifts before the April 2027 first round.",221,
electoral-college-margin-of-victory-in-the-2024-presidential-election,Electoral College Margin of Victory?,903211,116208770.60647,True,False,False,0,,,,0,
college-football-champion-2025,College Football Champion 2025,12027,114932366.86305298,True,False,False,0,,,,0,
israel-x-hezbollah-ceasefire-by,Israel x Hezbollah ceasefire by...?,242420,112638018.21840876,True,False,True,831,2026-04-21T00:16:26.626Z,True,"A U.S.-brokered 10-day cessation of hostilities between Israel and Lebanon, targeting Iran-backed Hezbollah, took effect on April 16, 2026, following rare direct talks in Washington, halting cross-border strikes amid the ongoing 2026 Lebanon war that escalated in early March. The truce, welcomed by Hezbollah, has largely held despite isolated incidents like rocket fire killing Israeli soldiers and Israeli warnings against Lebanese returns to southern border areas where troops remain deployed. This de-escalation signal supports broader U.S.-Iran negotiations, with potential extensions tied to Lebanon's sovereignty enforcement against Hezbollah; upcoming White House talks between Israeli Prime Minister Netanyahu and Lebanese President Aoun could shape permanent ceasefire prospects before the truce expires around April 26.",0,
la-liga-winner-114,LALIGA Winner ,33509,111151334.3664959,True,False,True,704,2026-05-11T00:46:16.705Z,True,"Barcelona clinched their 29th La Liga title on May 10 with a decisive 2-0 El Clásico victory over Real Madrid at Camp Nou, sealing the championship three matches early thanks to goals from Marcus Rashford and Ferran Torres. This result extended Barcelona's insurmountable lead atop the table to 14 points (91 total from 30 wins, 1 draw, 4 losses, +60 goal difference), rendering Real Madrid's 77 points irrelevant despite their +37 GD. Trader consensus prices Barcelona at 100% implied probability, reflecting the official title confirmation and dominant season form under Hansi Flick. No realistic challenges remain, as only catastrophic forfeits or administrative reversals could alter the outcome now.",0,
what-price-will-bitcoin-hit-in-january-2026,What price will Bitcoin hit in January?,137338,107746434.084592,True,False,False,0,,,,0,
peru-presidential-election-winner,Peru Presidential Election Winner,106520,107147311.76968883,True,False,True,785,2026-06-18T02:31:38.646Z,True,"Keiko Fujimori holds a commanding position in the Peru presidential election winner market following the June 7 runoff against Roberto Sánchez, with over 99% of votes counted showing her leading by roughly 35,000–36,000 ballots out of nearly 20 million cast. Traders price her victory at 98.5% because the remaining tallies under review are concentrated in Lima and Callao, her electoral strongholds, where official projections favor her and historical patterns from prior narrow races reinforce the trend. Sánchez has not conceded and raised fraud claims, yet electoral authorities have set a mid-July certification deadline with no major legal barriers yet shifting the count. The razor-thin margin leaves limited room for reversal absent verified irregularities in disputed ballots.",187,
fed-decision-in-june,Fed decision in June?,17792,106895985.982213,True,False,False,0,,,,0,
lighter-market-cap-fdv-one-day-after-launch,Lighter market cap (FDV) one day after launch?,28997,106735062.224516,True,False,False,0,,,,0,
eurovision-winner-2025,Eurovision Winner 2025,17738,105911052.705064,True,False,False,0,,True,,0,
next-prime-minister-of-hungary,Next Prime Minister of Hungary,34038,101113709.73835205,True,False,True,795,2026-05-09T17:31:22.613Z,True,"Péter Magyar's swearing-in as Hungary's prime minister on May 9, 2026, following his Tisza party's supermajority victory (141 seats) in the April 12 parliamentary election, has driven trader consensus to 100% certainty on Polymarket. This landslide ousted Viktor Orbán after 16 years, propelled by voter backlash against economic woes, corruption allegations, and EU tensions, enabling swift National Assembly convening and government formation within constitutional timelines. With Tisza's dominance securing legislative control, challenges like a no-confidence vote or resignation appear remote absent extraordinary developments such as health crises, scandals, or legal challenges to the election results. Upcoming cabinet confirmations and policy rollout could further solidify his position.",16,
iran-x-israelus-conflict-ends-by,Iran x Israel/US conflict ends by...?,236884,100611326.57253869,True,False,True,713,2026-04-25T00:31:22.597Z,True,"A fragile two-week ceasefire between the US, Israel, and Iran, brokered April 8 and extended multiple times through April 23, remains in effect as President Trump awaits Tehran's unified proposal amid stalled talks in Pakistan. Tensions persist with US naval blockade and seizures in the Strait of Hormuz, countered by Iran's April 22 attacks on three ships, while an Israel-Lebanon truce was prolonged by three weeks. No major airstrikes or missile barrages have occurred since early April, but both sides prepare for potential resumption if diplomacy fails. Traders monitor upcoming proposal deadlines and negotiation outcomes, which could signal de-escalation or renewed escalation in this protracted conflict.",0,
what-price-will-bitcoin-hit-in-march-2026,What price will Bitcoin hit in March?,238474,99554303.75358588,True,False,False,0,,,,0,
will-trump-release-epstein-files-by,Will Trump release Epstein files by...? ,84898,98298138.870717,True,False,False,0,,,,0,
nba-mvp-694,NBA MVP ,32754,95221397.46939987,True,False,True,809,2026-05-18T05:45:44.378Z,True,"Shai Gilgeous-Alexander’s commanding position in the NBA MVP market stems from his standout 2025-26 regular season, where he anchored the Oklahoma City Thunder to a league-best 64 wins and the No. 1 seed in the West while delivering record-setting consistency, including the longest streak of 20-plus point games since Wilt Chamberlain. Traders have aligned behind this performance, viewing his blend of scoring efficiency, clutch production, and leadership without key teammates as decisive over finalists Nikola Jokić and Victor Wembanyama. With voting now complete, the implied probability reflects broad consensus on his back-to-back award. Late roster adjustments or playoff surprises remain the only theoretical variables that could have shifted sentiment, though none materialized to alter the outcome.",0,
venezuela-leader-end-of-2026,Venezuela leader end of 2026?,143443,94999328.399252,False,False,True,946,2026-08-03T16:01:25.408Z,True,"The US military operation in January 2026 that removed Nicolás Maduro from Venezuela and brought him to the United States for legal proceedings created an interim government led by Delcy Rodríguez, with ongoing US engagement on sanctions relief, oil, and security matters. This shift left the Chavista power structures largely intact, including control of the National Assembly and military, while opposition figures such as María Corina Machado and Edmundo González pursued separate dialogue tracks that have so far produced limited breakthroughs. Trader pricing reflects expectations that regime continuity will persist through the end of 2026 absent a decisive transition agreement or further external pressure, with Rodríguez positioned as a short-term placeholder rather than a long-term successor. Scheduled talks and any cabinet or institutional changes in the coming months remain the primary variables that could alter these assessments.",0,
closest-state-in-the-presidential-election,Closest state in the Presidential election?,13273,93910262.549968,True,False,False,0,,,,0,
republican-vp-nominee,Republican VP nominee?,903287,92565642.122107,True,False,False,0,,,,0,
top-spotify-artist-2025-146,Top Spotify Artist 2025,35754,89974150.743188,True,False,False,0,,,,0,
will-ronaldo-cry-at-the-world-cup-20260604013616610,Will Ronaldo Cry at the World Cup?,563178,89210513.79233912,True,False,True,763,2026-06-18T02:33:31.220Z,True,"Ronaldo's 41-year-old age and repeated statements that the 2026 World Cup represents his final tournament create elevated emotional stakes for Portugal's captain. A hamstring injury that sidelined him from March friendlies and early club action fueled recovery narratives, yet he returned to feature in the June 17 opener against DR Congo, where Portugal drew 1-1 and he recorded limited impact. Group K fixtures against Uzbekistan and Colombia add knockout pressure, while his history of visible emotion during major internationals—substitutions, family moments, and title pursuits—shapes trader views. Recent form struggles and the physical demands of a sixth World Cup appearance reinforce the implied 71% probability for tears before the tournament concludes.",0,
fed-decision-in-may-2025,Fed decision in May?,17140,88372825.451562,True,False,False,0,,True,,0,
us-x-venezuela-military-engagement-by,US x Venezuela military engagement by...?,38884,87408771.528641,True,False,False,0,,,,0,
chile-presidential-election,Chile Presidential Election,23947,86065815.388403,True,False,False,0,,,,0,
