market_slug,market_title,annotation_timestamp,annotation_title,claimed_source,url,actual_domain,issue_type,http_status
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-12 12:00:00+00,Poll shows voters would pick Democrats over Republicans by 2âtoâ1 if midterms were today,NPR,https://www.npr.org/2025/11/19/nx-s1-5611088/poll-democrats-republicans-trump-approval-inflation,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-19 12:00:00+00,Poll shows Democrats hold largest advantage for control of Congress since 2017,NPR,https://www.npr.org/2025/11/19/nx-s1-5611088/poll-democrats-republicans-trump-approval-inflation,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-20 12:00:00+00,Supreme Court clears Alabamaâs contested 2025 congressional map,CNN Politics,https://www.cnn.com/2025/11/20/politics/alabama-congressional-map-supreme-court,cnn.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-28 12:00:00+00,Supreme Court blocks Alabamaâs Blackâdistrictâeliminating map,supremecourt.gov,https://www.supremecourt.gov/opinions/2025/11/28/alabama-map,supremecourt.gov,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-01 12:00:00+00,Polls show Democrats hold modest lead in generic congressional ballot,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-08 12:00:00+00,"Senator Tommy Tuberville announces run for Alabama governor, opening competitive Senate primary",The New York Times,https://www.nytimes.com/interactive/2026/us/elections/2026-election-calendar.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-08 12:00:00+00,"Senator Tommy Tuberville announces run for governor, opening competitive Senate primary",The New York Times,https://www.nytimes.com/interactive/2026/us/elections/2026-election-calendar.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-10 12:00:00+00,Supreme Court lifts injunction on Texas congressional map,ABC News,https://abcnews.go.com/Politics/what-supreme-courts-congressional-map-decision-means-midterm-elections-128142122,abcnews.go.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-11 12:00:00+00,"Senator Tommy Tuberville Announces Run for Governor, Opening Competitive Senate Primary",The New York Times,https://www.nytimes.com/news-event/2026-midterm-elections,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-15 12:00:00+00,"Supreme Court weakens Voting Rights Act, paving way for GOPâfriendly maps",BBC News,https://www.bbc.com/news/us-politics-2025-12-15,bbc.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-15 12:00:00+00,"Rep. Doug LaMalfa dies, trimming GOP House margin",AP News,https://apnews.com/article/rep-doug-lamalfa-dies-california-house-304d9772c6e2d11f03109e2dae1eeb9b,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-17 12:00:00+00,Record number of congressional retirements announced ahead of 2026 midterms,NPR,https://www.npr.org/2025/12/17/nx-s1-5647318/congress-retirement-2026-house-senate-primary,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-18 12:00:00+00,Texas and California engage in mid-decade redistricting battles,ABC News,https://abcnews.com/Politics/6-political-stories-watch-2026-midterms-maps/story?id=128784610,abcnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-12-18 12:00:00+00,Pennsylvania gubernatorial primary sets stage for competitive midterm race,The New York Times,https://www.nytimes.com/interactive/2026/us/elections/2026-election-calendar.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-02 12:00:00+00,Trumpâs super PAC MAGA Inc raises over $300 million for 2026 midterms,MEAAW,https://news.meaww.com/trumps-super-pac-raises-over-300-m-ahead-of-2026-midterm-elections,news.meaww.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-11 12:00:00+00,Trump acknowledges historical pattern of presidents losing midterms in interview with Reuters,Reuters,https://news.meaww.com/trump-claims-presidents-nearly-always-lose-midterms-urges-republicans-to-brace-for-2026,news.meaww.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-12 12:00:00+00,Democrats Edge Ahead on Generic Congressional Ballot Polls,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-18 12:00:00+00,CNN poll: Democrats energized for midterms despite leadership discontent,Meaww,https://news.meaww.com/democrats-energized-for-midterms-but-unhappy-with-party-leadership-poll-shows,news.meaww.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-22 12:00:00+00,January 2026 National Poll Shows Democrats Start Midterm Year with Six-Point Advantage,Emerson College Polling,https://emerson.edu/polling/2026-midterms,emerson.edu,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-29 12:00:00+00,Fox News poll shows Democrats with early advantage in 2026 midterms,Fox News,https://www.foxnews.com/politics/fox-news-poll-early-2026-midterms,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-01-31 12:00:00+00,Polling shows Democrats gaining momentum in midterm generic ballot,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-02 12:00:00+00,"Trump: ""We should take over the voting"" sparks controversy",Democracy Docket,https://democracydocket.com/trump-voting-remarks-2026,democracydocket.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-02 12:00:00+00,Trump suggests taking over voting in midterms,Democracy Docket,https://www.democracydocket.com/2026/02/02/trump-takeover-voting-midterms,democracydocket.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-04 12:00:00+00,Joint APâFoxâNBC poll shows Republican Senate lead shrinks to 3 points,Associated Press,https://apnews.com/article/2026-midterm-poll-r-senate-d-house,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-07 12:00:00+00,Democrats Vow to Prevent Trump from Manipulating Midterm Elections,The Guardian,https://www.theguardian.com/us-news/2026/feb/07/democrats-will-prevent-trump-from-stealing-midterm-elections-hakeem-jeffries,theguardian.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-08 12:00:00+00,Senator Schiff claims Trump plans to subvert 2026 midterm election results,Headtopics,https://us.headtopics.com/news/schiff-trump-plans-to-subvert-2026-midterm-election-results-79485420,us.headtopics.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-08 12:00:00+00,Supreme Court backs Alabama redistricting map favoring GOP,AP News,https://apnews.com/article/supreme-court-alabama-redistricting-2026,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-10 12:00:00+00,Polls show Democrats leading by single digits ahead of midterms,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-14 12:00:00+00,Trump endorses Ken Paxton in Texas Senate primary runoff,The New York Times,https://www.nytimes.com/2026/05/26/us/politics/midterm-primaries-primer.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-20 12:00:00+00,Supreme Court upholds Alabama gerrymandered congressional map,CNN Politics,https://www.cnn.com/2026/02/20/politics/supreme-court-alabama-gerrymander,cnn.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-28 12:00:00+00,Senate Leadership Fund commits $342 million to key Senate races,RedTea News,https://redtea.com/senate-leadership-fund-commits-342-million-to-key-senate-races/,redtea.com,propaganda,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-02-28 12:00:00+00,Democrats gain momentum in early 2026 special elections and off-year races,NPR,https://www.npr.org/2026/01/03/nx-s1-5665110/politics-2026-trump-midterms,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-03 12:00:00+00,"Midterm primaries kick off in Texas, North Carolina, and Arkansas",NPR,https://www.npr.org/2026/03/04/nx-s1-5734422/the-2026-midterm-elections-are-officially-underway-heres-what-to-watch,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-03 12:00:00+00,Primary elections begin with high-profile contests in Texas and other states,PBS News,https://www.pbs.org/newshour/politics/takeaways-from-the-first-elections-of-2026-midterms,pbs.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-03 12:00:00+00,Texas Republican Senate primary runoff between Cornyn and Paxton,The New York Times,https://www.nytimes.com/2026/03/03/us/politics/texas-senate-primary-runoff.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-04 12:00:00+00,"Midterm primaries underway in Texas, North Carolina, and Arkansas",NPR,https://www.npr.org/2026/03/04/nx-s1-5734422/the-2026-midterm-elections-are-officially-underway-heres-what-to-watch,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-04 12:00:00+00,Texas Republican primary runoff pits incumbent John Cornyn against Ken Paxton,PBS News,https://www.pbs.org/newshour/politics/takeaways-from-the-first-elections-of-2026-midterms,pbs.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-05 12:00:00+00,Rep. Tony Gonzales drops reelection bid amid scandal,Texas Tribune,https://www.texastribune.org/2026/03/05/tony-gonzales-reelection-drop,texastribune.org,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-05 12:00:00+00,Kenâ¯Paxton defeats incumbent Sen. Johnâ¯Cornyn in Texas Republican runoff,CNN Politics,https://www.cnn.com/2026/03/05/politics/paxton-cornyn-texas-runoff,cnn.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-06 12:00:00+00,Polls show Democrats holding midterm edge amid Trump struggles,NBC News,https://www.nbcnews.com/politics/2026-election/poll-trump-struggles-democrats-midterm-edge,nbcnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-09 12:00:00+00,Polling shows Democrats gaining ground in 2026 midterm generic ballot,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-13 12:00:00+00,New SSRS poll shows Democrats leading national midterm sentiment,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-16 12:00:00+00,Democrats gain momentum as midterm primary season begins,AP News,https://apnews.com/projects/elections-2026/calendar/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-17 12:00:00+00,"Midterm primaries kick off in Texas, North Carolina, and Arkansas",Headtopics,https://us.headtopics.com/news/midterm-primaries-kick-off-texas-north-carolina-and-80541405,us.headtopics.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-17 12:00:00+00,"Illinois holds primary elections for governor, U.S. Senate, and House races",ABC7 Chicago,https://us.headtopics.com/news/2026-primary-elections-voter-information-in-illinois-79322314,us.headtopics.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-03-23 12:00:00+00,Biden and Vice President Trump pledge bipartisan cooperation in midterm prep,NBC News,https://www.nbcnews.com/politics/biden-trump-bipartisan-press-conference-2026,nbcnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-02 12:00:00+00,"Biden announces Iran ceaseâfire, easing gas prices",Fox News,https://www.foxnews.com/politics/biden-iran-ceasefire-announced,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-06 12:00:00+00,Republican Senate superâPAC unveils $350â¯million battle plan for 2026,The New York Times,https://www.nytimes.com/2026/04/06/us/politics/republican-midterms-fundraising-super-pac.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-08 12:00:00+00,DOJ launches enforcement actions against state electionâtech firms,ABC News,https://abcnews.go.com/Politics/doj-enforcement-election-technology-2026,abcnews.go.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-21 12:00:00+00,Fox News poll shows economic gloom and tough path for GOP midterms,Fox News,https://www.foxnews.com/politics/2026-midterms-poll,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-22 12:00:00+00,Fox News poll highlights economic gloom and Trumpâs low approval,Fox News,https://www.foxnews.com/politics/2026-election,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-25 12:00:00+00,Virginia legislature approves bipartisan redistricting reform,The Guardian,https://www.theguardian.com/us-news/2026/apr/25/virginia-redistricting-reform,theguardian.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-04-30 12:00:00+00,Republican leader Scalise warns of possible House loss despite Senate confidence,CBS,https://www.cbsnews.com/news/scalise-house-senate-2026-midterms/,cbsnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-02 12:00:00+00,Iowa Primary Election Highlights Competitive Senate and Governor Races,NPR,https://www.npr.org/sections/elections/,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-02 12:00:00+00,Key Senate races identified as toss-ups and leaning Democratic,NPR,https://www.npr.org/2026/05/02/nx-s1-5806271/2026-midterm-elections-control-senate-race,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-07 12:00:00+00,"Supreme Court weakens Voting Rights Act, enabling more redistricting",AP News,https://apnews.com/projects/elections-2026/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-17 12:00:00+00,"U.S. announces ceaseâfire with Iran, gasoline prices expected to fall",Reuters,https://www.reuters.com/world/middle-east/us-iraq-ceasefire-2026-05-17,reuters.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-22 12:00:00+00,"LateâMay poll gives GOP Senate lead, Dem House lead",YouGov,https://www.yougov.com/en-us/articles/2026-05-22-midterm-polls,yougov.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-22 12:00:00+00,Voters rank affordability as top issue ahead of 2026 midterms,NPR,https://www.npr.org/2026/05/22/theres-been-a-shift-in-attention-in-the-party-ahead-of-the-midterms-as-voters-rank-affordability-the-top-issue,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-26 12:00:00+00,Texas Senate GOP runoff between Ken Paxton and John Cornyn,The New York Times,https://www.nytimes.com/interactive/2026/us/elections/2026-election-calendar.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-30 12:00:00+00,"AP, Fox, NBC call House at narrow Republican majority pending certification",Associated Press,https://apnews.com/2026/05/30/house-results,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-05-30 12:00:00+00,"Earlyâvoting turnout up 12â¯% in swing states, Fox and AP report",Fox News,https://www.foxnews.com/politics/early-voting-2026-swing-states,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-01 12:00:00+00,"Midâcampaign analysis shows tightening House races, NBCâAP report",NBC News,https://www.nbcnews.com/politics/2026-midterms/house-races-tighten-2026-06-01,nbcnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-02 12:00:00+00,California primary election highlights competitive gubernatorial and congressional races,California Secretary of State,https://www.sos.ca.gov/elections/upcoming-elections/primary-election-june-2-2026,sos.ca.gov,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-02 12:00:00+00,"AP, Fox, and NBC certify Democratsâcontrolled House and Republicanâcontrolled Senate",AP News,https://apnews.com/article/2026-midterms-final-results-06-02,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-02 12:00:00+00,"AP, Fox, and NBC certify Democratsâcontrolled House and Republicanâcontrolled Senate",Fox News,https://www.foxnews.com/politics/2026-midterm-results-house-senate,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-02 12:00:00+00,"AP, Fox, and NBC certify Democratsâcontrolled House and Republicanâcontrolled Senate",NBC News,https://www.nbcnews.com/politics/2026-election/house-senate-final-certification-2026-06-02,nbcnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-04 12:00:00+00,SAVE America Act Fails to Pass in the United States Senate,NPR,https://www.npr.org/sections/elections/,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-09 12:00:00+00,Key Senate and House primaries conclude shaping November matchups,AP News,https://apnews.com/projects/elections-2026/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-09 12:00:00+00,Nevada GOP primary and South Carolina races highlight Republican challenges,AP News,https://apnews.com/projects/elections-2026/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-13 12:00:00+00,Polls Show Democrats Maintain Modest Lead Ahead of Midterms,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-14 12:00:00+00,No clear frontrunner in key Republican gubernatorial primaries,The New York Times,https://www.nytimes.com/interactive/2026/us/elections/2026-election-calendar.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-16 12:00:00+00,Poll shows shrinking Democratic lead in generic congressional ballot,100PercentFedUp.com,https://100percentfedup.com/breaking-democrats-midterm-hopes-take-major-dive/,100percentfedup.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-23 12:00:00+00,Primary elections finalize candidates for November midterms,AP News,https://apnews.com/projects/elections-2026/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-25 12:00:00+00,Midterm Elections Storm Clouds Gather for Republicans as Political Winds Shift,HeadTopics,https://us.headtopics.com/news/midterm-elections-storm-clouds-gather-for-republicans-as-79510766,us.headtopics.com,pink slime,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-29 12:00:00+00,Times/Siena polls show tight Senate races with Democrats slightly favored in key states,The New York Times,https://www.nytimes.com/2026/07/01/us/politics/polls-senate-control.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-06-30 12:00:00+00,House Republicans' internal revolt stalls legislative agenda ahead of midterms,The New York Times,https://www.nytimes.com/2026/06/30/us/politics/republicans-house-defense-elections-save-america.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-01 12:00:00+00,"AP, Fox and NBC call Democrats ahead in House and Senate on election night",AP News,https://apnews.com/projects/election-results-2025/,apnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-01 12:00:00+00,Polls show tight Senate races with Republicans holding slight edge,The New York Times,https://www.nytimes.com/2026/07/01/us/politics/polls-senate-control.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-03 12:00:00+00,Supreme Court upholds Mississippi mail-in ballot law affecting midterm voting,Council on Foreign Relations,https://www.cfr.org/articles/supreme-court-mail-in-voting-2026-midterms,cfr.org,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-05 12:00:00+00,Democrats lead in generic congressional ballot polls,ActiVote,https://activote.com/2026-midterms-poll,activote.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-07 12:00:00+00,Graham Platner suspends Senate bid amid controversy,CNN,https://www.cnn.com/politics/2026,cnn.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-08 12:00:00+00,Democratic Senate Nominee Graham Platner Withdraws Amid Sexual Assault Allegations,The New York Times,https://www.nytimes.com/2026/07/08/us/politics/graham-platner-withdrawal.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2026-07-11 12:00:00+00,"Primaries begin in Texas, North Carolina, and Arkansas, launching 2026 midterm campaigns",US Headtopics,https://us.headtopics.com/news/midterm-elections-live-updates-texas-north-carolina-80511778,us.headtopics.com,pink slime,200
